"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","47.1159929336236","46.8918142274368","47.9771818996532","47.8974515396464","47.8986452512014","48.4740999185422","48.2752184501426","48.9280820700088","48.9301126909661","49.7375470580984","51.3425794304652","52.5781184109172","52.2637175272934","52.9261423590906","52.2015951752987","52.1901785925233","52.9009288413475","52.5956906088009","50.5448983761109","47.4013818620937","47.4487283412902","45.6220726648811","46.8147481398588","46.5278080174543","46.8891518421651","46.2890966595385","45.8475373141611","46.3724118552655","46.0363147764668","47.4637374657633","46.7099510221098","44.7347946425397","47.1428641603782","48.7665559522593","47.9271392384383","48.3471828618623","50.4732454187568","51.6459813677695","51.4980636108477","49.609522378468","49.5751415185998","47.7215463440853","47.5402955850955","48.2374566731183","47.0760302540034","46.9817095929686","46.5687803574488","45.5716930458232","46.0098728327283","43.2788955327287","43.9927768238502","42.0112159550611","41.7147641202299","20.26","",
"Afghanistan","AFG","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","11.0983449980257","11.8989384288926","13.7636066030667","14.2270090740122","14.9545090363426","16.1928162437882","18.1516807016116","19.7717886412145","19.8762109241812","20.8516241378672","21.9918613792304","23.1808883724345","22.6339785445147","21.1920062956754","21.300721017835","20.4076324906104","21.0550673425391","20.646041285941","21.1291817863549","34.5030113333458","35.8190802628896","36.8965584989996","36.2176094232025","31.802371514657","30.8364648245012","32.6430456151759","33.5878292844854","32.8566086029868","34.2324319730068","37.92916371274","38.8665394027201","39.02020200725","39.9800510714417","38.1353323352475","39.7976622694747","38.2078133977227","38.1081287970868","39.0470373085946","36.5680324603223","43.9456429968458","46.5796112316896","44.4787008439715","44.915676537835","47.1944520155943","45.8802765238066","47.4722831123284","45.4349556497669","44.8120639072526","47.5050599634709","46.5732229594332","46.8080381757355","47.3132013666777","46.4035460296292","","",
"Angola","AGO","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.4763521211256","25.478774678004","24.0941788537499","24.9606641594466","24.4358161945779","22.8258592380001","23.4698205718493","23.811064704246","22.0332105831962","24.6330455388567","25.1848947983317","26.7209387431998","28.2598197350819","32.0081448200934","32.4471399237354","28.4568298898292","32.7423539582404","34.9546254708147","37.7244935206324","40.7793840600227","43.7741269267812","44.6920179755016","47.4299488564142","45.8357304355483","55.0987261307989","26.3540802954846","0","0","0","0","0","0","0","0","","",
"Albania","ALB","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.5828532661419","69.8282433148651","56.0810900233887","53.4824869321743","54.8346474573975","49.5416687387705","45.4547725863194","41.4504184640869","45.280376425134","58.1589883245882","58.6262252214381","60.8576974284697","63.1307925258423","64.4101681240081","65.4676683777613","66.3490163247787","64.3620955340319","65.0184946395028","63.7091916036169","63.2712949884953","63.0747306154026","61.3483054812868","57.5886158712717","56.2283728759268","61.2387157089831","47.3533869848479","0","0","0","0","0","0","0","0","","",
"Andorra","AND","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","82.2465192248725","83.0567698186162","84.6192627997353","85.5193700687693","85.7991706554729","86.8552185834082","87.5170123122302","88.7740485770486","90.2875998596354","91.372323295903","91.5737040912032","92.2448306294669","93.2632058568525","93.3849900401963","92.8790006808548","93.4155550854619","93.6718333593795","94.2890249197984","94.4086024489082","93.5911877177302","93.7868584306958","94.3298012240646","94.5817631005728","94.4270130528548","94.490329760167","94.5078349292158","94.6516111434194","94.6818633194879","94.6140848859702","94.7323006602463","94.8728961293055","95.0569638418271","95.1222495214869","95.0433850184126","95.3455290957639","95.5064347369979","95.8248454485964","96.2192531007716","96.2881287573371","96.3633807226909","96.4583110139412","96.5512549396984","96.4886296535862","96.6770594644903","96.7596800320737","96.8340594467207","96.8817931151154","96.8097679650249","96.6246707073099","96.2904930907128","96.0652322514265","95.747672578099","95.3333726462666","","",
"United Arab Emirates","ARE","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9413308434024","99.9728834168324","","","99.9629699703294","","","","","92.213943460568","92.7030407469135","92.5878836516192","","99.9794221026998","99.7541026983072","99.7598254378556","99.7852835635948","95.5502867459815","","97.6888673970723","98.4722939131806","98.3524948196941","80.1335449305592","22.5348482610616","0","0","0","0","0","0","0","0","","",
"Argentina","ARG","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.2459774896178","91.6489434778532","93.5269872471421","89.7570611536069","87.4944076543344","89.0478271345651","90.203183019409","89.1909906376599","86.5889688939095","87.567289185349","88.9688614537143","88.1323497632881","86.5116522119285","85.6996942186908","87.9335613804311","88.7429296926283","91.3111577484447","89.0822082089819","92.1748284131746","96.1456734325114","93.3868831109177","91.9428841304471","89.9402874146777","89.9321041467291","92.3836622192159","56.2877376502912","0","0","0","0","0","0","0","0","0","",
